Year,Category,Amount,Type
2003,Foreign Aid,28632248,Revenue
2017,Natural Resources,18919245,Revenue
2005,Foreign Aid,20498667,Revenue
2016,Grants,42606127,Revenue
2008,Healthcare,1346022,Expense
2022,Tax Revenue,18569315,Revenue
2000,Defense,32921750,Expense
2012,Education,18316445,Expense
2007,Tax Revenue,5574270,Revenue
2008,Foreign Aid,11643506,Revenue
2007,Grants,27172192,Revenue
2015,Foreign Aid,21629509,Revenue
2016,Tax Revenue,25865431,Revenue
2020,Tax Revenue,24834519,Revenue
2008,Healthcare,1573478,Expense
2020,Infrastructure,44547500,Expense
2012,Education,47119557,Expense
2006,Healthcare,42516574,Expense
2017,Natural Resources,39304873,Revenue
2010,Infrastructure,4107894,Expense
2017,Foreign Aid,18214684,Revenue
2019,Social Welfare,43677616,Expense
2007,Healthcare,13784045,Expense
2023,Foreign Aid,49351157,Revenue
2016,Social Welfare,21250980,Expense
2015,Defense,5921687,Expense
2020,Natural Resources,44262808,Revenue
2002,Foreign Aid,3654541,Revenue
2010,Defense,6298294,Expense
2011,Defense,11115549,Expense
2021,Defense,35965378,Expense
2010,Healthcare,37096312,Expense
2005,Tax Revenue,11316382,Revenue
2012,Social Welfare,22649895,Expense
2011,Infrastructure,22535088,Expense
2000,Infrastructure,5608991,Expense
2010,Grants,25683616,Revenue
2007,Grants,29652596,Revenue
2015,Defense,32861425,Expense
2003,Infrastructure,16307744,Expense
2018,Tax Revenue,15288465,Revenue
2008,Foreign Aid,31447036,Revenue
2001,Defense,9797767,Expense
2023,Natural Resources,12714168,Revenue
2002,Healthcare,3049115,Expense
2009,Healthcare,2013106,Expense
2005,Education,13103598,Expense
2019,Education,48783675,Expense
2018,Natural Resources,9868657,Revenue
2006,Tax Revenue,31269159,Revenue
2009,Grants,14950523,Revenue
2006,Foreign Aid,14209973,Revenue
2018,Healthcare,21364181,Expense
2023,Natural Resources,25894801,Revenue
2014,Social Welfare,26582904,Expense
2007,Social Welfare,12360775,Expense
2021,Healthcare,49791325,Expense
2005,Tax Revenue,27243722,Revenue
2006,Natural Resources,3485878,Revenue
2006,Tax Revenue,34654493,Revenue
2003,Foreign Aid,27830246,Revenue
2006,Infrastructure,1216041,Expense
2020,Natural Resources,40336885,Revenue
2008,Defense,10483956,Expense
2004,Healthcare,41271698,Expense
2001,Defense,16219879,Expense
2022,Infrastructure,32347256,Expense
2015,Grants,19439003,Revenue
2015,Healthcare,45255133,Expense
2016,Tax Revenue,28433318,Revenue
2008,Healthcare,35890150,Expense
2022,Foreign Aid,26429451,Revenue
2021,Natural Resources,23805312,Revenue
2000,Infrastructure,37118520,Expense
2022,Defense,43069910,Expense
2016,Tax Revenue,45494804,Revenue
2019,Healthcare,46071230,Expense
2011,Healthcare,41387935,Expense
2005,Infrastructure,35191470,Expense
2009,Tax Revenue,37315759,Revenue
2000,Natural Resources,11245232,Revenue
2019,Natural Resources,21217136,Revenue
2014,Social Welfare,14035307,Expense
2016,Social Welfare,45408748,Expense
2005,Social Welfare,6872514,Expense
2020,Natural Resources,17497105,Revenue
2017,Foreign Aid,15240093,Revenue
2005,Foreign Aid,19367744,Revenue
2016,Grants,42201711,Revenue
2004,Defense,25992435,Expense
2022,Defense,42170391,Expense
2009,Grants,42971947,Revenue
2012,Social Welfare,17087500,Expense
2011,Foreign Aid,25524478,Revenue
2021,Grants,15433545,Revenue
2012,Infrastructure,18453184,Expense
2021,Tax Revenue,41736817,Revenue
2022,Infrastructure,40462014,Expense
2017,Education,29560826,Expense
2003,Social Welfare,11575543,Expense
2005,Natural Resources,5575725,Revenue
2009,Education,41471258,Expense
2011,Tax Revenue,24253905,Revenue
2012,Natural Resources,41179306,Revenue
2011,Tax Revenue,31158385,Revenue
2015,Foreign Aid,15691388,Revenue
2022,Defense,23235263,Expense
2007,Education,34990282,Expense
2022,Social Welfare,14541712,Expense
2004,Social Welfare,9491215,Expense
2009,Defense,17283227,Expense
2023,Grants,6666790,Revenue
2023,Tax Revenue,34740822,Revenue
2011,Tax Revenue,11198210,Revenue
2000,Social Welfare,47058577,Expense
2011,Education,16114505,Expense
2016,Grants,43436991,Revenue
2023,Grants,19875754,Revenue
2002,Education,29108501,Expense
2009,Defense,40509200,Expense
2007,Education,41888235,Expense
2001,Healthcare,27602105,Expense
2017,Natural Resources,31153740,Revenue
2007,Infrastructure,39558396,Expense
2009,Infrastructure,21517352,Expense
2005,Tax Revenue,47263150,Revenue
2018,Education,23922897,Expense
2004,Healthcare,27247743,Expense
2007,Healthcare,22172850,Expense
2023,Natural Resources,9882611,Revenue
2005,Natural Resources,11907679,Revenue
2007,Defense,26461590,Expense
2015,Defense,37628184,Expense
2000,Foreign Aid,45713191,Revenue
2017,Tax Revenue,38602106,Revenue
2008,Infrastructure,22603527,Expense
2020,Healthcare,5014379,Expense
2006,Grants,2464127,Revenue
2015,Natural Resources,28302439,Revenue
2009,Foreign Aid,47587416,Revenue
2006,Defense,47648902,Expense
2016,Grants,49718602,Revenue
2004,Grants,36977149,Revenue
2011,Tax Revenue,35058708,Revenue
2020,Natural Resources,38117517,Revenue
2004,Natural Resources,49183528,Revenue
2018,Defense,8401728,Expense
2000,Grants,25129968,Revenue
2014,Education,18895097,Expense
2000,Social Welfare,39661548,Expense
2012,Healthcare,16774094,Expense
2002,Education,39919822,Expense
2017,Grants,45530915,Revenue
2001,Natural Resources,23568913,Revenue
2020,Natural Resources,17781701,Revenue
2012,Healthcare,16721528,Expense
2007,Natural Resources,29275188,Revenue
2000,Healthcare,14357219,Expense
2019,Foreign Aid,49844585,Revenue
2013,Grants,26483545,Revenue
2013,Healthcare,11819816,Expense
2016,Grants,6247378,Revenue
2009,Foreign Aid,11786830,Revenue
2009,Grants,46488993,Revenue
2019,Foreign Aid,11685409,Revenue
2016,Healthcare,35916705,Expense
2001,Defense,13990514,Expense
2020,Tax Revenue,12297390,Revenue
2005,Natural Resources,18776427,Revenue
2007,Healthcare,21451861,Expense
2015,Education,27093719,Expense
2020,Tax Revenue,1810934,Revenue
2020,Foreign Aid,11943261,Revenue
2006,Healthcare,4507528,Expense
2014,Infrastructure,22313759,Expense
2022,Healthcare,31229527,Expense
2021,Natural Resources,5615975,Revenue
2002,Defense,20346843,Expense
2001,Grants,45975419,Revenue
2023,Tax Revenue,5771615,Revenue
2016,Defense,2068190,Expense
2006,Healthcare,9942187,Expense
2002,Natural Resources,9636312,Revenue
2019,Foreign Aid,4532964,Revenue
2002,Natural Resources,30920775,Revenue
2012,Healthcare,4439066,Expense
2012,Tax Revenue,35119165,Revenue
2005,Tax Revenue,24418395,Revenue
2010,Healthcare,47190248,Expense
2006,Grants,27052133,Revenue
2021,Natural Resources,24329876,Revenue
2006,Grants,15221450,Revenue
2005,Education,17548389,Expense
2010,Tax Revenue,18615539,Revenue
2015,Defense,45480164,Expense
2021,Tax Revenue,2594357,Revenue
2021,Defense,30466528,Expense
2011,Natural Resources,46232623,Revenue
2007,Grants,15068250,Revenue
2016,Healthcare,46122453,Expense
2006,Foreign Aid,27924071,Revenue
2002,Foreign Aid,6133285,Revenue
2015,Defense,28651212,Expense
2010,Tax Revenue,7621193,Revenue
2023,Grants,22910144,Revenue
2012,Tax Revenue,46311078,Revenue
2022,Education,22436545,Expense
2006,Tax Revenue,18814286,Revenue
2002,Infrastructure,24553547,Expense
2003,Education,36682571,Expense
2001,Tax Revenue,35091752,Revenue
2012,Tax Revenue,30520008,Revenue
2015,Tax Revenue,2842406,Revenue
2015,Natural Resources,38120459,Revenue
2022,Natural Resources,4909923,Revenue
2006,Social Welfare,27602311,Expense
2001,Social Welfare,39016164,Expense
2000,Education,40905094,Expense
2018,Natural Resources,21293155,Revenue
2020,Grants,48041482,Revenue
2022,Foreign Aid,19274235,Revenue
2000,Infrastructure,43318197,Expense
2019,Education,40900078,Expense
2002,Defense,49051365,Expense
2003,Natural Resources,22548912,Revenue
2007,Grants,17949219,Revenue
2007,Grants,33084844,Revenue
2000,Education,22201413,Expense
2001,Grants,38285738,Revenue
2022,Natural Resources,35783893,Revenue
2008,Foreign Aid,4060543,Revenue
2005,Foreign Aid,6095742,Revenue
2015,Infrastructure,15320858,Expense
2018,Defense,7698416,Expense
2000,Social Welfare,6429707,Expense
2001,Education,14166033,Expense
2019,Defense,13062901,Expense
2023,Education,26875897,Expense
2019,Tax Revenue,17915063,Revenue
2016,Infrastructure,47560250,Expense
2007,Education,43930393,Expense
2013,Education,1938465,Expense
2003,Defense,15491392,Expense
2022,Healthcare,17002770,Expense
2022,Infrastructure,39330084,Expense
2009,Healthcare,24034555,Expense
2012,Tax Revenue,28091379,Revenue
2009,Healthcare,6240321,Expense
2004,Healthcare,47602754,Expense
2005,Education,5749954,Expense
2007,Tax Revenue,8392960,Revenue
2003,Social Welfare,23564201,Expense
2002,Social Welfare,41217182,Expense
2011,Natural Resources,43054977,Revenue
2023,Natural Resources,3295450,Revenue
2009,Social Welfare,38842712,Expense
2004,Social Welfare,6047417,Expense
2013,Social Welfare,46091381,Expense
2005,Natural Resources,1861138,Revenue
2000,Foreign Aid,19886873,Revenue
2012,Infrastructure,19705319,Expense
2021,Social Welfare,21963344,Expense
2000,Defense,37575614,Expense
2015,Defense,40047481,Expense
2011,Foreign Aid,32560398,Revenue
2009,Defense,46437557,Expense
2006,Natural Resources,36103125,Revenue
2019,Natural Resources,31202794,Revenue
2016,Education,30374380,Expense
2019,Infrastructure,31420389,Expense
2008,Tax Revenue,37087560,Revenue
2018,Grants,32837494,Revenue
2017,Tax Revenue,22511432,Revenue
2009,Foreign Aid,5062094,Revenue
2012,Healthcare,11581008,Expense
2016,Social Welfare,5751660,Expense
2020,Education,32725739,Expense
2021,Social Welfare,1089114,Expense
2017,Tax Revenue,41004028,Revenue
2012,Foreign Aid,17433336,Revenue
2021,Tax Revenue,15972138,Revenue
2010,Infrastructure,44300073,Expense
2021,Healthcare,6089772,Expense
2001,Healthcare,39782932,Expense
2013,Healthcare,10898198,Expense
2006,Natural Resources,20779772,Revenue
2009,Natural Resources,19472324,Revenue
2023,Education,33243750,Expense
2005,Infrastructure,14321983,Expense
2012,Tax Revenue,12828438,Revenue
2001,Infrastructure,11801632,Expense
2018,Infrastructure,18267340,Expense
2013,Natural Resources,1393747,Revenue
2023,Foreign Aid,45967744,Revenue
2011,Defense,17518326,Expense
2005,Social Welfare,10738651,Expense
2019,Grants,31351761,Revenue
2000,Natural Resources,3605413,Revenue
2002,Foreign Aid,33090316,Revenue
2008,Social Welfare,23573544,Expense
2014,Natural Resources,23359192,Revenue
2011,Foreign Aid,14281257,Revenue
2010,Natural Resources,16341558,Revenue
2021,Tax Revenue,6526100,Revenue
2009,Infrastructure,43557047,Expense
2005,Grants,19873012,Revenue
2022,Tax Revenue,4841827,Revenue
2017,Infrastructure,20385111,Expense
2014,Foreign Aid,7019083,Revenue
2003,Infrastructure,1466905,Expense
2022,Infrastructure,45954406,Expense
2006,Natural Resources,39965736,Revenue
2015,Education,22473910,Expense
2021,Education,45071991,Expense
2018,Foreign Aid,14122031,Revenue
2002,Natural Resources,15075622,Revenue
2009,Grants,21343564,Revenue
2007,Grants,46765180,Revenue
2015,Education,9225827,Expense
2000,Defense,13398877,Expense
2004,Education,41112990,Expense
2007,Infrastructure,40097470,Expense
2010,Infrastructure,41550548,Expense
2011,Foreign Aid,13484996,Revenue
2010,Infrastructure,32807509,Expense
2002,Natural Resources,48083279,Revenue
2007,Education,9474241,Expense
2015,Foreign Aid,21391178,Revenue
2000,Foreign Aid,48807620,Revenue
2002,Healthcare,23991727,Expense
2009,Education,26019811,Expense
2019,Foreign Aid,26310144,Revenue
2021,Grants,32591008,Revenue
2023,Defense,20980963,Expense
2005,Defense,25104082,Expense
2020,Defense,24903357,Expense
2000,Education,29695647,Expense
2006,Natural Resources,1071524,Revenue
2016,Infrastructure,35239600,Expense
2007,Infrastructure,38357724,Expense
2002,Education,39401920,Expense
2021,Grants,27647497,Revenue
2016,Tax Revenue,22555681,Revenue
2000,Tax Revenue,47197667,Revenue
2011,Defense,39115245,Expense
2006,Education,47073228,Expense
2003,Foreign Aid,44752962,Revenue
2012,Defense,13217887,Expense
2001,Infrastructure,42169393,Expense
2009,Grants,18253621,Revenue
2019,Grants,14543086,Revenue
2005,Foreign Aid,29485469,Revenue
2019,Tax Revenue,3450697,Revenue
2006,Foreign Aid,8280571,Revenue
2008,Foreign Aid,1842260,Revenue
2019,Defense,47765584,Expense
2000,Defense,25836592,Expense
2004,Social Welfare,29933880,Expense
2015,Natural Resources,2657548,Revenue
2011,Grants,20519985,Revenue
2003,Tax Revenue,13846601,Revenue
2015,Healthcare,11061118,Expense
2013,Tax Revenue,28714579,Revenue
2002,Foreign Aid,27219273,Revenue
2021,Social Welfare,24149129,Expense
2003,Natural Resources,25777791,Revenue
2007,Tax Revenue,15561347,Revenue
2023,Natural Resources,4214757,Revenue
2015,Grants,21143733,Revenue
2015,Infrastructure,26088271,Expense
2020,Social Welfare,39382879,Expense
2007,Defense,10424373,Expense
2018,Healthcare,43463797,Expense
2001,Natural Resources,45561516,Revenue
2021,Healthcare,2772084,Expense
2019,Infrastructure,47901413,Expense
2000,Grants,48422864,Revenue
2017,Foreign Aid,23205120,Revenue
2004,Foreign Aid,45468530,Revenue
2023,Foreign Aid,44539552,Revenue
2003,Foreign Aid,19222914,Revenue
2005,Infrastructure,18046421,Expense
2022,Tax Revenue,38762112,Revenue
2016,Defense,19916161,Expense
2022,Tax Revenue,25628858,Revenue
2023,Infrastructure,41184026,Expense
2022,Natural Resources,34576219,Revenue
2002,Defense,6025718,Expense
2011,Foreign Aid,24885033,Revenue
2009,Foreign Aid,18451537,Revenue
2001,Healthcare,7790083,Expense
2002,Defense,19092275,Expense
2022,Education,32878263,Expense
2016,Social Welfare,5514575,Expense
2013,Healthcare,45334657,Expense
2019,Education,38732185,Expense
2008,Tax Revenue,9136899,Revenue
2023,Foreign Aid,24610436,Revenue
2016,Natural Resources,8496878,Revenue
2001,Foreign Aid,38604180,Revenue
2020,Foreign Aid,45511419,Revenue
2001,Foreign Aid,32652794,Revenue
2011,Foreign Aid,6159740,Revenue
2016,Social Welfare,19680206,Expense
2015,Foreign Aid,46821248,Revenue
2019,Grants,37449428,Revenue
2021,Education,40738824,Expense
2019,Tax Revenue,18673269,Revenue
2019,Education,19401852,Expense
2000,Healthcare,8778194,Expense
2019,Education,12283003,Expense
2014,Natural Resources,40609436,Revenue
2015,Grants,19610404,Revenue
2023,Defense,11902951,Expense
2020,Tax Revenue,17059086,Revenue
2023,Healthcare,40279108,Expense
2017,Foreign Aid,17639809,Revenue
2004,Natural Resources,14671791,Revenue
2006,Defense,40603671,Expense
2020,Defense,35712110,Expense
2023,Grants,23151584,Revenue
2005,Education,1034602,Expense
2000,Infrastructure,20143417,Expense
2010,Defense,9825544,Expense
2018,Grants,47959545,Revenue
2019,Tax Revenue,38524564,Revenue
2004,Grants,43710467,Revenue
2008,Social Welfare,4668159,Expense
2016,Grants,15799317,Revenue
2002,Tax Revenue,34396249,Revenue
2011,Defense,17704785,Expense
2019,Healthcare,20493309,Expense
2021,Healthcare,8417310,Expense
2003,Natural Resources,7900181,Revenue
2021,Defense,21516386,Expense
2016,Tax Revenue,4722202,Revenue
2013,Foreign Aid,26391424,Revenue
2008,Healthcare,34295684,Expense
2012,Infrastructure,46707334,Expense
2009,Natural Resources,14526259,Revenue
2010,Education,48863326,Expense
2001,Grants,12999325,Revenue
2003,Infrastructure,8070611,Expense
2011,Foreign Aid,47696982,Revenue
2001,Defense,37592640,Expense
2011,Defense,42940518,Expense
2007,Natural Resources,9736504,Revenue
2002,Natural Resources,46051821,Revenue
2005,Infrastructure,45919515,Expense
2006,Defense,11552975,Expense
2000,Foreign Aid,41979249,Revenue
2016,Tax Revenue,41249972,Revenue
2018,Defense,1996019,Expense
2005,Grants,31817028,Revenue
2005,Healthcare,25276402,Expense
2019,Education,8832629,Expense
2019,Social Welfare,3482893,Expense
2016,Grants,13155651,Revenue
2007,Foreign Aid,36989402,Revenue
2008,Infrastructure,30904279,Expense
2009,Foreign Aid,8380934,Revenue
2005,Grants,46603218,Revenue
2007,Grants,4132435,Revenue
2013,Healthcare,2350441,Expense
2002,Grants,21864840,Revenue
2004,Foreign Aid,20395181,Revenue
2012,Infrastructure,12887194,Expense
2014,Defense,40487957,Expense
2017,Education,47098156,Expense
2006,Social Welfare,23385604,Expense
2023,Infrastructure,23925376,Expense
2006,Defense,22820865,Expense
2017,Tax Revenue,33813771,Revenue
2020,Infrastructure,24357096,Expense
2019,Grants,14241882,Revenue
2011,Defense,41195129,Expense
2016,Tax Revenue,31076559,Revenue
2013,Defense,38745860,Expense
2014,Education,35992186,Expense
2000,Healthcare,12554929,Expense
2018,Tax Revenue,42538469,Revenue
2006,Grants,6883418,Revenue
2006,Natural Resources,29696761,Revenue
2015,Foreign Aid,36744258,Revenue
2000,Tax Revenue,48783621,Revenue
2001,Infrastructure,21397983,Expense
2023,Healthcare,34742153,Expense
2020,Foreign Aid,6600599,Revenue
2022,Infrastructure,41774131,Expense
2005,Education,29470793,Expense
2005,Social Welfare,15156862,Expense
2003,Infrastructure,19930306,Expense
2016,Defense,48555770,Expense
2021,Natural Resources,29872157,Revenue
2014,Education,15416844,Expense
2019,Grants,24974057,Revenue
2016,Defense,46370289,Expense
2014,Foreign Aid,20032602,Revenue
2022,Grants,42302646,Revenue
2021,Grants,9913098,Revenue
2015,Natural Resources,8860849,Revenue
2011,Foreign Aid,38238382,Revenue
2011,Natural Resources,16639542,Revenue
2021,Defense,42630335,Expense
2004,Education,11052513,Expense
2017,Healthcare,37745208,Expense
2010,Infrastructure,33521987,Expense
2002,Natural Resources,42489294,Revenue
2014,Grants,26482706,Revenue
2020,Education,16032296,Expense
2008,Education,3285669,Expense
2015,Natural Resources,4172608,Revenue
2007,Tax Revenue,48616326,Revenue
2008,Healthcare,21329693,Expense
2000,Foreign Aid,31662928,Revenue
2011,Defense,35728814,Expense
2001,Healthcare,12139333,Expense
2020,Healthcare,30448910,Expense
2022,Education,18099799,Expense
2010,Infrastructure,26113996,Expense
2014,Infrastructure,6715811,Expense
2020,Infrastructure,38878492,Expense
2007,Natural Resources,20957287,Revenue
2004,Tax Revenue,17896077,Revenue
2008,Foreign Aid,48388170,Revenue
2000,Education,23475678,Expense
2016,Grants,27922946,Revenue
2010,Tax Revenue,4646654,Revenue
2012,Grants,6014767,Revenue
2010,Defense,31022165,Expense
2005,Foreign Aid,31153497,Revenue
2007,Defense,18232745,Expense
2014,Defense,35568627,Expense
2001,Education,26841340,Expense
2009,Foreign Aid,36322149,Revenue
2010,Infrastructure,38783310,Expense
2010,Grants,14861030,Revenue
2007,Education,9382869,Expense
2003,Healthcare,42266240,Expense
2002,Infrastructure,12261730,Expense
2017,Infrastructure,15080282,Expense
2005,Grants,35091402,Revenue
2022,Grants,17261860,Revenue
2015,Infrastructure,16532840,Expense
2000,Defense,20254965,Expense
2014,Foreign Aid,8004835,Revenue
2015,Grants,31998637,Revenue
2019,Tax Revenue,26129957,Revenue
2019,Infrastructure,26027936,Expense
2012,Healthcare,47042318,Expense
2016,Defense,22144840,Expense
2018,Natural Resources,41623576,Revenue
2013,Defense,22088466,Expense
2005,Defense,36362312,Expense
2008,Healthcare,1543616,Expense
2021,Education,18060324,Expense
2009,Grants,31264637,Revenue
2023,Education,40635393,Expense
2017,Healthcare,43126580,Expense
2015,Tax Revenue,36725254,Revenue
2003,Healthcare,15789568,Expense
2007,Social Welfare,15890625,Expense
2009,Infrastructure,3088508,Expense
2010,Infrastructure,8616858,Expense
2018,Defense,39810769,Expense
2020,Healthcare,26404175,Expense
2001,Infrastructure,46208389,Expense
2016,Social Welfare,1706622,Expense
2009,Grants,29419188,Revenue
2012,Infrastructure,17823171,Expense
2023,Defense,4359870,Expense
2002,Natural Resources,1841623,Revenue
2008,Grants,13873178,Revenue
2011,Grants,34219114,Revenue
2005,Grants,17081969,Revenue
2023,Grants,5727116,Revenue
2006,Infrastructure,30620977,Expense
2020,Grants,10100956,Revenue
2013,Education,10927488,Expense
2012,Education,15591356,Expense
2014,Social Welfare,4540723,Expense
2011,Infrastructure,42754695,Expense
2020,Defense,29819717,Expense
2015,Grants,6699162,Revenue
2009,Tax Revenue,44685163,Revenue
2010,Defense,2732300,Expense
2018,Education,31103426,Expense
2003,Grants,11125112,Revenue
2002,Grants,40686710,Revenue
2009,Infrastructure,4026799,Expense
2017,Healthcare,44633920,Expense
2003,Tax Revenue,19433422,Revenue
2009,Healthcare,44556987,Expense
2021,Healthcare,11062359,Expense
2015,Healthcare,34137712,Expense
2001,Grants,46211719,Revenue
2005,Tax Revenue,35423887,Revenue
2004,Defense,48908472,Expense
2002,Healthcare,2467592,Expense
2019,Defense,34352769,Expense
2018,Natural Resources,12544186,Revenue
2001,Education,30991541,Expense
2007,Social Welfare,38823753,Expense
2008,Foreign Aid,4791956,Revenue
2001,Social Welfare,26771070,Expense
2012,Natural Resources,31911220,Revenue
2021,Foreign Aid,37525914,Revenue
2008,Grants,27428807,Revenue
2006,Social Welfare,6375616,Expense
2008,Healthcare,5707975,Expense
2015,Natural Resources,46262809,Revenue
2004,Tax Revenue,13799678,Revenue
2007,Education,6888668,Expense
2017,Social Welfare,10794790,Expense
2000,Infrastructure,28307008,Expense
2001,Infrastructure,47764139,Expense
2004,Natural Resources,38432917,Revenue
2001,Defense,23320202,Expense
2000,Natural Resources,19857680,Revenue
2016,Healthcare,7524216,Expense
2020,Natural Resources,29977075,Revenue
2017,Foreign Aid,39688910,Revenue
2020,Foreign Aid,23569338,Revenue
2013,Infrastructure,36362372,Expense
2005,Education,1438679,Expense
2001,Education,30171936,Expense
2016,Healthcare,22980697,Expense
2008,Infrastructure,49485048,Expense
2005,Foreign Aid,45728359,Revenue
2017,Natural Resources,15770248,Revenue
2020,Education,39881877,Expense
2022,Healthcare,33049971,Expense
2000,Education,3026786,Expense
2010,Natural Resources,18973010,Revenue
2002,Foreign Aid,25893455,Revenue
2010,Social Welfare,33639479,Expense
2006,Education,49875985,Expense
2021,Grants,11709860,Revenue
2015,Foreign Aid,3290342,Revenue
2000,Infrastructure,42064857,Expense
2006,Foreign Aid,7975597,Revenue
2005,Social Welfare,16668214,Expense
2010,Tax Revenue,45960057,Revenue
2022,Natural Resources,27491726,Revenue
2008,Grants,7914065,Revenue
2010,Foreign Aid,3826351,Revenue
2003,Social Welfare,24485762,Expense
2023,Infrastructure,18650200,Expense
2023,Tax Revenue,35495592,Revenue
2012,Foreign Aid,31827126,Revenue
2005,Tax Revenue,33778009,Revenue
2003,Social Welfare,24641374,Expense
2013,Healthcare,10103862,Expense
2015,Social Welfare,15055578,Expense
2010,Grants,36704101,Revenue
2003,Social Welfare,5581543,Expense
2018,Social Welfare,22006509,Expense
2014,Foreign Aid,4892790,Revenue
2020,Natural Resources,16005311,Revenue
2007,Natural Resources,19491542,Revenue
2022,Social Welfare,42825694,Expense
2019,Foreign Aid,33073851,Revenue
2010,Foreign Aid,22547363,Revenue
2003,Foreign Aid,39543929,Revenue
2019,Grants,48274555,Revenue
2006,Social Welfare,21593672,Expense
2010,Healthcare,22820710,Expense
2013,Social Welfare,21997773,Expense
2001,Natural Resources,11352924,Revenue
2014,Foreign Aid,32197481,Revenue
2000,Infrastructure,19709903,Expense
2020,Natural Resources,20868966,Revenue
2002,Education,17272821,Expense
2000,Infrastructure,2141414,Expense
2002,Infrastructure,11948414,Expense
2012,Foreign Aid,2916546,Revenue
2018,Grants,18468272,Revenue
2017,Tax Revenue,24970474,Revenue
2009,Defense,22703391,Expense
2019,Healthcare,36776696,Expense
2020,Tax Revenue,26307312,Revenue
2005,Infrastructure,23614773,Expense
2001,Infrastructure,49756488,Expense
2013,Tax Revenue,46110489,Revenue
2012,Grants,4801455,Revenue
2006,Infrastructure,14395948,Expense
2013,Education,18217576,Expense
2000,Infrastructure,9223485,Expense
2007,Foreign Aid,9326046,Revenue
2003,Defense,34919750,Expense
2000,Education,42199246,Expense
2007,Social Welfare,14277377,Expense
2009,Foreign Aid,32926243,Revenue
2002,Grants,6962983,Revenue
2023,Natural Resources,37562137,Revenue
2015,Defense,26167786,Expense
2000,Infrastructure,7274089,Expense
2017,Grants,46895669,Revenue
2007,Education,39610989,Expense
2007,Education,47107696,Expense
2023,Grants,20137207,Revenue
2020,Defense,4669245,Expense
2003,Natural Resources,24153285,Revenue
2011,Foreign Aid,4496996,Revenue
2015,Natural Resources,20711003,Revenue
2022,Defense,47247468,Expense
2012,Infrastructure,1974286,Expense
2007,Foreign Aid,36650508,Revenue
2021,Education,36992536,Expense
2013,Tax Revenue,8619090,Revenue
2018,Social Welfare,5896678,Expense
2002,Defense,45206803,Expense
2010,Healthcare,43616095,Expense
2020,Grants,27364439,Revenue
2002,Defense,13220305,Expense
2004,Infrastructure,41504852,Expense
2020,Foreign Aid,6750294,Revenue
2004,Foreign Aid,37971090,Revenue
2005,Education,35672828,Expense
2011,Foreign Aid,11191910,Revenue
2012,Natural Resources,16348322,Revenue
2008,Defense,7278649,Expense
2007,Healthcare,18305582,Expense
2015,Natural Resources,34036219,Revenue
2000,Natural Resources,45338674,Revenue
2011,Healthcare,2545256,Expense
2018,Natural Resources,3757773,Revenue
2006,Natural Resources,1337608,Revenue
2001,Natural Resources,17707413,Revenue
2020,Healthcare,45229677,Expense
2013,Defense,45719324,Expense
2018,Grants,7508285,Revenue
2015,Social Welfare,11231739,Expense
2015,Defense,12550769,Expense
2019,Tax Revenue,40710785,Revenue
2002,Infrastructure,37112422,Expense
2017,Tax Revenue,46120441,Revenue
2007,Foreign Aid,13739860,Revenue
2001,Foreign Aid,3755931,Revenue
2015,Defense,49632755,Expense
2021,Social Welfare,14344329,Expense
2002,Tax Revenue,20176980,Revenue
2015,Infrastructure,36040184,Expense
2018,Defense,9556780,Expense
2010,Tax Revenue,4119821,Revenue
2000,Infrastructure,37527585,Expense
2005,Grants,26508044,Revenue
2022,Education,25870577,Expense
2006,Infrastructure,12718265,Expense
2017,Tax Revenue,5147225,Revenue
2007,Infrastructure,45830001,Expense
2002,Foreign Aid,45008735,Revenue
2005,Natural Resources,47859074,Revenue
2006,Defense,9874796,Expense
2021,Education,26324112,Expense
2006,Grants,34227122,Revenue
2009,Natural Resources,20333863,Revenue
2021,Tax Revenue,18727483,Revenue
2014,Grants,6742409,Revenue
2007,Infrastructure,12987313,Expense
2014,Foreign Aid,3280183,Revenue
2001,Tax Revenue,27603063,Revenue
2007,Education,28291213,Expense
2013,Tax Revenue,19436064,Revenue
2009,Grants,11617618,Revenue
2002,Social Welfare,48441828,Expense
2022,Social Welfare,2556832,Expense
2003,Grants,28704824,Revenue
2004,Tax Revenue,21137734,Revenue
2007,Natural Resources,31428441,Revenue
2023,Education,34553463,Expense
2003,Healthcare,47188256,Expense
2006,Tax Revenue,38153992,Revenue
2013,Healthcare,13042369,Expense
2014,Foreign Aid,19094472,Revenue
2010,Foreign Aid,13486420,Revenue
2011,Healthcare,45025380,Expense
2023,Grants,34081825,Revenue
2014,Tax Revenue,2845849,Revenue
2018,Healthcare,19151488,Expense
2021,Infrastructure,42257868,Expense
2016,Social Welfare,3634894,Expense
2001,Infrastructure,45984434,Expense
2022,Tax Revenue,43220879,Revenue
2019,Natural Resources,12727419,Revenue
2023,Natural Resources,48942632,Revenue
2008,Social Welfare,30086524,Expense
2018,Tax Revenue,23128458,Revenue
2015,Grants,42381924,Revenue
2023,Social Welfare,4149768,Expense
2019,Defense,12751382,Expense
2011,Tax Revenue,27260256,Revenue
2002,Education,1316134,Expense
2021,Grants,24379362,Revenue
2008,Education,43694772,Expense
2013,Defense,20996147,Expense
2010,Social Welfare,20869510,Expense
2008,Tax Revenue,28486941,Revenue
